Item #,CPT/HCPCS Code,Description,Modifier,NDC,UOM,NRV,Gross Charge,Cash price,Min insurance pmt,Max insurance pmt,"AARP/UHC MHMO - AARP Medicare Advantage Plans, Dual Complete Special Needs Plans, UnitedHealthcare Medicare Advantage PASSPORT, UnitedHealthcare Medicare Advantage PPO","Aetna Commercial - HMO, POS, PPO EPO, HDHP","Ambetter - Ambetter Bronze, Silver, and Gold plans",Amerigroup - TennCare,"Amerivantage MHMO - Amerivantage Balance Plus (HMO), Amerivantage Classic Plus (HMO-POS), Amerivantage Full Dual Coordination (HMO D-SNP), Amerivantage Dual Premier (HMO D-SNP), Amerivantage Classic (HMO), Amerivantage Balance, Dual Coordination (HMO D-SNP)",Beechstreet - PPO,Blount County Government Cigna via Allegiance,Blue Cross Networks P&S,BlueCare - TennCare,"BlueAdvantage MHMO - BlueAdvantage Sapphire (PPO), BlueAdvantage Freedom (PPO), BlueCare Plus (HMO D-SNP), BlueCare Plus Choice (HMO D-SNP), BlueAdvantage Emerald (PPO), BlueAdvantage Ruby (PPO), BlueAdvantage Diamond (PPO)","Cigna - Connect, HMO, Indemnity, LocalPlus, OAP/Open Access Plus, PPO",Coventry - PPO,"Humana - HMO, Indemnity, POS, PPO","Humana Gold Plus HMO, HumanaChoice PPO, HumanaChoice Regional PPO, Humana Gold Plus SNP-DE",Multiplan - PPO,TennCare Select - TennCare,Three Rivers - PPO,UHC Community Plan - TennCare,"UnitedHealthcare - All Savers Health Plan, Heritage/UHC of the River Valley, Sures, TN Individual Exchange Benefit Plan, UHC Choice/Choice Plus, UHC Choice Advanced/Choice Plus Advanced, UHC Core/Core Essential, UHC EDGE, UHC Navigate, UHC Options PPO","WellCare - Wellcare Dual Access (HMO D-SNP), Wellcare Giveback Open (PPO), Wellcare No Premium (HMO-POS), Wellcare No Premium (PPO), Wellcare Assist (HMO), Wellcare Giveback (HMO), Wellcare Patriot Giveback (HMO-POS)"
3010001,10060,I&D ABSCESS SIMPLE,,,,0360,$799.00,$271.66,$32.58,$719.10,N/A,$719.10,N/A,N/A,N/A,$671.16,$351.00,$360.00,$32.58,N/A,$144.61,$575.28,$183.00,N/A,$639.20,$37.23,$639.20,$210.00,$276.00,N/A
3010002,10061,I&D ABSCESS COMPLEX,,,,0360,$770.00,$261.80,$144.61,$717.05,N/A,$693.00,N/A,N/A,N/A,$646.80,$351.00,$360.00,$627.62,N/A,$144.61,$554.40,$183.00,N/A,$616.00,$717.05,$616.00,$210.00,$276.00,N/A
3010003,10080,I&D CYST PILONIDAL SIMPLE,,,,0360,$893.00,$303.62,$44.59,$803.70,N/A,$803.70,N/A,N/A,N/A,$750.12,$351.00,$360.00,$44.59,N/A,$144.61,$642.96,$183.00,N/A,$714.40,$50.94,$714.40,$351.00,$351.00,N/A
3010004,10140,I&D HEMATOMA/SEROMA/FLUID,,,,0360,"$3,930.00","$1,336.20",$207.00,"$3,537.00",N/A,"$3,537.00",N/A,N/A,N/A,"$3,301.20","$1,104.00","$1,313.00",$941.43,N/A,$578.45,"$2,829.60",$207.00,N/A,"$3,144.00","$1,103.00","$3,144.00",$780.00,"$1,404.00",N/A
3010005,12020,SIMPLE WOUND DEHISCENCE SUPERFICIAL,,,,0360,"$1,917.00",$651.78,$78.88,"$1,725.30",N/A,"$1,725.30",N/A,N/A,N/A,"$1,610.28",$650.00,$360.00,$78.88,N/A,$741.60,"$1,380.24",$241.00,N/A,"$1,533.60",$90.12,"$1,533.60",$210.00,$276.00,N/A
3010025,99156,CONSC SED >5YR ONLY PHYS INITIAL 15MIN,,,,0370,$785.00,$266.90,$258.74,$706.50,N/A,$706.50,N/A,N/A,N/A,$659.40,N/A,N/A,N/A,N/A,$258.74,N/A,N/A,N/A,$628.00,N/A,$628.00,$0.00,N/A,N/A
3010101,20600,ARTHROCENTESIS ASP/INJ JOINT/BURSA SMALL,,,,0360,"$2,220.00",$754.80,$24.00,"$1,998.00",N/A,"$1,998.00",N/A,N/A,N/A,"$1,864.80",$351.00,$360.00,$24.00,N/A,$144.61,"$1,598.40",$183.00,N/A,"$1,776.00",$27.43,"$1,776.00",$210.00,$276.00,N/A
3010102,20605,ARTHROCENT ASP/INJ JOINT/BURSA INTERMED,50,,,0360,"$1,013.00",$344.42,$27.43,"$1,367.55",N/A,"$1,367.55",N/A,N/A,N/A,"$1,276.38",$789.75,$540.00,$36.00,N/A,$216.92,$729.36,$274.50,N/A,"$1,013.00",$27.43,"$1,013.00",$315.00,$351.00,N/A
3010103,20610,ARTHROCENT ASP/INJ JOINT/BURSA MAJOR,,,,0360,"$1,418.00",$482.12,$25.73,"$1,276.20",N/A,"$1,276.20",N/A,N/A,N/A,"$1,191.12",$612.00,$360.00,$25.73,N/A,$252.14,"$1,020.96",$183.00,N/A,"$1,134.40",$29.39,"$1,134.40",$210.00,$276.00,N/A
3010201,30901,CNTRL NOSEBLEED ANTERIOR SIMPLE,,,,0360,$306.00,$104.04,$37.73,$306.00,N/A,$275.40,N/A,N/A,N/A,$257.04,$179.00,$306.00,$37.73,N/A,$73.75,$220.32,$179.00,N/A,$244.80,$43.11,$244.80,$179.00,$179.00,N/A
3010202,30901,CNTRL NOSEBLEED ANTERIOR SMPL BIL,,,,0360,$383.00,$130.22,$37.73,$360.00,N/A,$344.70,N/A,N/A,N/A,$321.72,$210.65,$360.00,$37.73,N/A,$73.75,$275.76,$179.00,N/A,$306.40,$43.11,$306.40,$179.00,$179.00,N/A
3010203,30903,CONTROL NOSEBLEED ANTERIOR COMPLEX,,,,0360,$231.00,$78.54,$73.75,$627.62,N/A,$207.90,N/A,N/A,N/A,$194.04,$179.00,$231.00,$627.62,N/A,$73.75,$166.32,$179.00,N/A,$184.80,N/A,$184.80,$179.00,$179.00,N/A
3010204,30903,CONTROL NOSEBLEED ANTERIOR COMPLEX BIL,50,,,0360,$275.00,$93.50,$198.00,$941.43,N/A,$371.25,N/A,N/A,N/A,$346.50,$275.00,$275.00,$941.43,N/A,$213.00,$198.00,$213.00,N/A,$275.00,N/A,$275.00,$275.00,$275.00,N/A
3010205,30905,CONTROL NOSEBLEED POSTERIOR INITIAL,,,,0360,$326.00,$110.84,$73.75,$627.62,N/A,$293.40,N/A,N/A,N/A,$273.84,$179.00,$326.00,$627.62,N/A,$73.75,$234.72,$179.00,N/A,$260.80,N/A,$260.80,$179.00,$179.00,N/A
3010206,30906,CONTROL NOSEBLEED POSTERIOR SUBSEQUENT,,,,0360,$197.00,$66.98,$73.75,$627.62,N/A,$177.30,N/A,N/A,N/A,$165.48,$179.00,$197.00,$627.62,N/A,$73.75,$141.84,$179.00,N/A,$157.60,N/A,$157.60,$179.00,$179.00,N/A
3010209,32551,THRCSTMY TUBE W/DRAINAGE SYSTEM OPEN,,,,0360,"$1,554.00",$528.36,$288.40,"$1,398.60",N/A,"$1,398.60",N/A,N/A,N/A,"$1,305.36",$700.00,"$1,313.00",$627.62,N/A,$288.40,"$1,118.88",N/A,N/A,"$1,243.20",$959.98,"$1,243.20",$595.00,$595.00,N/A
3010210,32551,THRCSTMY TUBE W/DRAINAGE SYSTEM BIL,50,,,0360,"$1,850.00",$629.00,$865.20,"$2,497.50",N/A,"$2,497.50",N/A,N/A,N/A,"$2,331.00","$1,850.00","$1,850.00",$941.43,N/A,$865.20,"$1,332.00","$1,470.00",N/A,"$1,850.00","$1,439.97","$1,850.00",$892.50,$892.50,N/A
3010211,32554,THRCNTS NEEDLE/CATH W/O IMAGING GUID,,,,0360,"$1,050.00",$357.00,$360.00,$945.00,N/A,$945.00,N/A,N/A,N/A,$882.00,$650.00,$360.00,$627.62,N/A,$552.08,$756.00,$481.00,N/A,$840.00,N/A,$840.00,$595.00,$595.00,N/A
3010212,32554,THRCNTS NEEDLE/CATH W/O IMAGING GUID BIL,50,,,0360,"$1,313.00",$446.42,$540.00,"$1,772.55",N/A,"$1,772.55",N/A,N/A,N/A,"$1,654.38","$1,313.00",$540.00,$941.43,N/A,"$1,000.00",$945.36,$721.50,N/A,"$1,313.00",N/A,"$1,313.00",$892.50,$892.50,N/A
3010213,32556,PLEUR DRAIN W/INSRT CATH,,,,0360,"$2,116.00",$719.44,$481.00,"$1,904.40",N/A,"$1,904.40",N/A,N/A,N/A,"$1,777.44",$920.00,"$1,313.00",$840.25,N/A,$790.63,"$1,523.52",$481.00,N/A,"$1,692.80",N/A,"$1,692.80",$780.00,$780.00,N/A
3010214,32556,PLEUR DRAIN W/INSRT CATH BIL,50,,,0360,"$2,645.00",$899.30,$721.50,"$3,570.75",N/A,"$3,570.75",N/A,N/A,N/A,"$3,332.70","$2,645.00","$1,969.50","$1,260.37",N/A,"$1,779.23","$1,904.40",$721.50,N/A,"$2,645.00",N/A,"$2,645.00","$1,170.00","$1,170.00",N/A
3010216,,PERICARDIOCENTESIS SUBSQ,,,,0360,$612.00,$208.08,$489.60,$550.80,N/A,$550.80,N/A,N/A,N/A,$514.08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$489.60,N/A,$489.60,N/A,N/A,N/A
3010218,36430,BLOOD TRANSFUSION,,,,0391,"$2,000.00",$680.00,$38.79,"$1,800.00",N/A,"$1,800.00",N/A,N/A,N/A,"$1,680.00",$650.00,$129.33,$38.79,N/A,$337.00,"$1,440.00",$183.00,N/A,"$1,600.00",N/A,"$1,600.00",$210.00,$106.00,N/A
3010220,36555,CENTRAL LINE <5 YEARS OLD,,,,0360,$226.00,$76.84,$84.05,$627.62,N/A,$203.40,N/A,N/A,N/A,$189.84,$204.00,$226.00,$627.62,N/A,$84.05,$226.00,$204.00,N/A,$180.80,N/A,$180.80,$204.00,$204.00,N/A
3010221,36556,CENTRAL LINE >5 YEARS OLD,,,,0360,"$4,154.00","$1,412.36",$578.45,"$3,738.60",N/A,"$3,738.60",N/A,N/A,N/A,"$3,489.36",$650.00,"$1,475.00",$627.62,N/A,$578.45,$920.00,$607.00,N/A,"$3,323.20",$717.05,"$3,323.20",$595.00,$595.00,N/A
3010224,36591,VAD BLOLD SPECIMEN COLLECTION,,,,0360,$113.00,$38.42,$20.34,$113.00,N/A,$101.70,N/A,N/A,N/A,$94.92,$113.00,$113.00,$20.34,N/A,$113.00,$81.36,$113.00,N/A,$90.40,$23.24,$90.40,$113.00,$113.00,N/A
3010225,36592,BLOOD COLLECTION PERIPHERAL VENOUS CATH,,,,0360,$119.00,$40.46,$25.17,$119.00,N/A,$107.10,N/A,N/A,N/A,$99.96,$113.00,$119.00,$25.17,N/A,$113.00,$85.68,$113.00,N/A,$95.20,$28.76,$95.20,$119.00,$119.00,N/A
3010226,36593,DECLOT VASCULAR DEVICE,,,,0360,"$1,859.00",$632.06,$31.88,"$1,673.10",N/A,"$1,673.10",N/A,N/A,N/A,"$1,561.56",$193.05,$360.00,$31.88,N/A,$144.61,"$1,338.48",$183.00,N/A,"$1,487.20",$36.42,"$1,487.20",$210.00,$210.00,N/A
3010228,36680,INTRAOSSEOUS INFUSION,,,,0360,$387.00,$131.58,$144.61,$840.25,N/A,$348.30,N/A,N/A,N/A,$325.08,$351.00,$360.00,$840.25,N/A,$144.61,$278.64,$183.00,N/A,$309.60,$387.00,$309.60,$210.00,$210.00,N/A
3010229,37609,LIGATION OR BIOPSY TEMPORAL ARTERY,,,,0360,"$6,766.00","$2,300.44",$563.20,"$6,089.40",N/A,"$6,089.40",N/A,N/A,N/A,"$5,683.44",$920.00,"$1,313.00",$840.25,N/A,$563.20,"$1,649.00","$1,220.00",N/A,"$5,412.80",$959.98,"$5,412.80",$780.00,$780.00,N/A
3010230,38220,ASPIRATION BONE MARROW,,,,0360,"$1,628.00",$553.52,$270.00,"$1,465.20",N/A,"$1,465.20",N/A,N/A,N/A,"$1,367.52",$650.00,"$1,313.00",$627.62,N/A,$497.70,"$1,172.16",$270.00,N/A,"$1,302.40",N/A,"$1,302.40",$595.00,$595.00,N/A
3010249,99152,CONSC SED 5+YR 1ST 15 MIN,,,,0370,$817.00,$277.78,$495.64,$735.30,N/A,$735.30,N/A,N/A,N/A,$686.28,N/A,N/A,N/A,N/A,$495.64,N/A,N/A,N/A,$653.60,N/A,$653.60,$0.00,N/A,N/A
3010250,99153,CONSC SED 5+YR ADDL 15 MIN,,,,0370,$888.00,$301.92,$98.47,$799.20,N/A,$799.20,N/A,N/A,N/A,$745.92,N/A,N/A,N/A,N/A,$98.47,N/A,N/A,N/A,$710.40,N/A,$710.40,$0.00,N/A,N/A
3010301,43752,PLACE TUBE NASOGASTRIC,,,,0360,$361.00,$122.74,$134.72,$360.00,N/A,$324.90,N/A,N/A,N/A,$303.24,$327.00,$360.00,$0.00,N/A,$134.72,$259.92,$183.00,N/A,$288.80,$0.00,$288.80,$210.00,$210.00,N/A
3010302,46050,I&D ABSC PERIANAL SUPERFIC,,,,0360,"$2,452.00",$833.68,$288.40,"$2,206.80",N/A,"$2,206.80",N/A,N/A,N/A,"$2,059.68",$650.00,$360.00,$627.62,N/A,$288.40,"$1,765.44",$644.00,N/A,"$1,961.60",$717.05,"$1,961.60",$595.00,$595.00,N/A
3010401,51700,IRRIG/LAVG/INSTL BLADDER,,,,0360,"$1,103.00",$375.02,$22.29,$992.70,N/A,$992.70,N/A,N/A,N/A,$926.52,$351.00,$360.00,$22.29,N/A,$144.61,$794.16,$183.00,N/A,$882.40,$25.47,$882.40,$210.00,$210.00,N/A
3010402,51701,CATH BLADDER NON-INDWELLING,,,,0360,$494.00,$167.96,$110.42,$444.60,N/A,$444.60,N/A,N/A,N/A,$414.96,$268.00,$360.00,$0.00,N/A,$110.42,$355.68,$183.00,N/A,$395.20,$0.00,$395.20,$210.00,$210.00,N/A
3010403,51702,CATHETERIZATION BLADDER SIMPLE,,,,0360,$336.00,$114.24,$73.75,$336.00,N/A,$302.40,N/A,N/A,N/A,$282.24,$179.00,$336.00,$0.00,N/A,$73.75,$241.92,$179.00,N/A,$268.80,$0.00,$268.80,$179.00,$179.00,N/A
3010404,51703,CATHETERIZATION BLADDER COMPLICATED,,,,0360,"$1,533.00",$521.22,$73.75,"$1,379.70",N/A,"$1,379.70",N/A,N/A,N/A,"$1,287.72",$179.00,$360.00,$0.00,N/A,$73.75,"$1,103.76",$179.00,N/A,"$1,226.40",$0.00,"$1,226.40",$179.00,$179.00,N/A
3010405,51798,BLADDER SCAN,,,,0360,$777.00,$264.18,$73.75,$699.30,N/A,$699.30,N/A,N/A,N/A,$652.68,$179.00,$360.00,$0.00,N/A,$73.75,$559.44,$179.00,N/A,$621.60,$0.00,$621.60,$179.00,$179.00,N/A
3010406,56405,I&D ABSC VULVA/PERINEAL,,,,0360,"$3,171.00","$1,078.14",$144.61,"$2,853.90",N/A,"$2,853.90",N/A,N/A,N/A,"$2,663.64",$351.00,$360.00,$840.25,N/A,$144.61,"$2,283.12",$183.00,N/A,"$2,536.80",$959.98,"$2,536.80",$210.00,$210.00,N/A
3010407,59000,AMNIOCENTESIS DIAGNOSTIC,,,,0360,"$1,549.00",$526.66,$207.00,"$1,394.10",N/A,"$1,394.10",N/A,N/A,N/A,"$1,301.16",$650.00,$360.00,$627.62,N/A,$578.45,"$1,115.28",$207.00,N/A,"$1,239.20",N/A,"$1,239.20",$595.00,$595.00,N/A
3010501,62270,LUMBAR PUNCTURE DIAGNOSTIC,,,,0360,$426.00,$144.84,$37.73,$426.00,N/A,$383.40,N/A,N/A,N/A,$357.84,$426.00,$360.00,$37.73,N/A,$288.40,$306.72,$328.00,N/A,$340.80,$43.11,$340.80,$426.00,$426.00,N/A
3010502,62273,EPIDURAL BLOOD/CLOT PATCH,,,,0360,"$1,869.00",$635.46,$288.40,"$1,682.10",N/A,"$1,682.10",N/A,N/A,N/A,"$1,569.96",$650.00,$360.00,$627.62,N/A,$288.40,$920.00,$607.00,N/A,"$1,495.20",$717.05,"$1,495.20",$595.00,$595.00,N/A
3011020,99195,PHLEBOTOMY THERAPUTIC,,,,0940,$200.00,$68.00,$17.01,$200.00,N/A,$180.00,N/A,N/A,N/A,$168.00,$110.00,$200.00,$17.01,N/A,$97.80,$144.00,$124.75,N/A,$160.00,$19.43,$160.00,$18.12,$106.00,N/A
3011030,G0008,ADMINISTRATION INFLUENZA VIRUS VACCINE,,,,0771,$134.00,$45.56,$12.57,$120.60,N/A,$120.60,N/A,N/A,N/A,$112.56,$69.85,$97.79,N/A,N/A,$65.53,$96.48,$20.48,N/A,$107.20,N/A,$107.20,$12.57,N/A,N/A
3011040,G0009,ADMINISTRATION PNEUMOCOCCAL VACCINE,,,,0771,$127.00,$43.18,$5.15,$114.30,N/A,$114.30,N/A,N/A,N/A,$106.68,N/A,$97.79,$5.15,N/A,N/A,$91.44,$20.48,N/A,$101.60,N/A,$101.60,N/A,N/A,N/A
3011050,G0010,ADMINISTRATION HEPATITIS B VACCINE,,,,0771,$141.00,$47.94,$5.15,$126.90,N/A,$126.90,N/A,N/A,N/A,$118.44,N/A,$97.79,$5.15,N/A,N/A,$101.52,$20.48,N/A,$112.80,N/A,$112.80,N/A,N/A,N/A
3012003,90471,IMMUN ADMIN ONE VACCINE,,,,0771,$127.00,$43.18,$5.67,$114.30,N/A,$114.30,N/A,N/A,N/A,$106.68,N/A,$97.79,$5.67,N/A,N/A,$91.44,$20.48,N/A,$101.60,N/A,$101.60,N/A,N/A,N/A
3012004,90472,IMMUN ADMIN EA ADDL VACCINE,,,,0771,$115.00,$39.10,$5.79,$103.50,N/A,$103.50,N/A,N/A,N/A,$96.60,N/A,$49.60,$5.79,N/A,N/A,$82.80,$15.52,N/A,$92.00,N/A,$92.00,N/A,N/A,N/A
3012007,92960,CARDIOVERSION ELECTV EXTERNAL,,,,0480,"$1,043.00",$354.62,$59.88,$938.70,N/A,$938.70,N/A,N/A,N/A,$876.12,$573.65,$813.66,$165.99,N/A,$510.88,$750.96,$59.88,N/A,$834.40,$189.64,$834.40,$595.00,$595.00,N/A
3012009,93041,EKG RHYTHM TRACING ONLY,,,,0730,$349.00,$118.66,$5.54,$314.10,N/A,$314.10,N/A,N/A,N/A,$293.16,$191.95,$21.29,$5.54,N/A,$170.66,$251.28,$6.70,N/A,$279.20,$6.33,$279.20,$12.40,$266.00,N/A
3012010,93701,BIOIMPEDANCE-DERIVED CV ANALYS,,,,0480,$235.00,$79.90,$12.40,$211.50,N/A,$211.50,N/A,N/A,N/A,$197.40,$129.25,$91.04,$25.79,N/A,$87.76,$169.20,$32.59,N/A,$188.00,$29.47,$188.00,$12.40,$12.40,N/A
