file_create_date,run_id,name,tax_id,code,code.type,code.description,payer,patient_class,gross.charge,de.identified.minimum.negotiated.charge,payer.specific.negotiated.charge,de.identified.maximum.negotiated.charge,discounted.cash.price
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,J1610,cpt,glucagon hydrochloride/1 mg,aetna,O,584.81,155.36,497.09,497.09,292.41
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,84590,cpt,Vitamin A level,aetna,O,61.00,11.00,51.85,51.85,30.50
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,85379,cpt,"Coagulation function measurement, D-dimer; quantitative",aetna,O,73.00,9.65,62.05,62.05,36.50
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,95910,cpt,"Nerve transmission studies, 7-8 studies",aetna,O,912.00,114.17,775.20,775.20,456.00
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,99282,cpt,"Emergency department visit, low to moderately severe problem",aetna,E,475.00,112.66,233.75,488.00,237.50
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,80076,cpt,Liver function blood test panel ,aetna,O,109.00,7.74,92.65,92.65,54.50
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,J2060,cpt,lorazepam injection,aetna,O,16.75,4.20,14.24,16.75,8.38
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,82104,cpt,"Alpha-1-antitrypsin (protein) blood test, phenotype",aetna,O,40.00,11.33,34.00,34.00,20.00
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,J1580,cpt,garamycin gentamicin inj,aetna,O,46.75,11.40,37.75,37.75,23.38
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,87449,cpt,"Immunologic analysis for detection of organism by immunoassay technique, multiple-step method",aetna,O,78.00,11.35,66.30,66.30,39.00
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,86778,cpt,Analysis for antibody (IgM) to Toxoplasma (parasite),aetna,O,41.00,16.39,34.85,34.85,20.50
