SVCCD,Description,CPT,Gross.Charge,As.of.Date,DISCOUNTED.CASH.PRICE.INPATIENT,DISCOUNTED.CASH.PRICE.OUTPATIENT,DE.IDENTIFIED.MIN,DE.IDENTIFIED.MAX,BC.BS.TN.Preferred,BC.BS.TN.Select,BC.BS.TN.CHS.Employees,CIGNA,Aetna,Humana,Centene.Ambetter.HIX,Multiplan,UHC.Comm.Plan.Americhoice.MCD,Amerigroup.MCD,BC.BS...BlueCare.MCD,Humana.Gold.Choice.MCR,United.Healthcare...Secure.MCR,BCBS.MCR,HealthSpring.CIGNA.MCR,Amerigroup.MCR,Aetna.MCR,Wellcare.MCR
1912003,MODSED SAME ADD15MIN,99153,605,2/6/2022,138.8475,138.8475,38.72,231.715,115.555,79.86,132.495,125.84,140.36,79.86,110.715,231.715,50.215,50.82,38.72,66.55,67.155,68.97,78.65,70.18,73.205,68.365
1314167,CALCIUM URI QN TIMED,82340,200.01,2/6/2022,45.902295,45.902295,12.80064,76.60383,38.20191,26.40132,43.80219,41.60208,46.40232,26.40132,36.60183,76.60383,16.60083,16.80084,12.80064,22.0011,22.20111,22.80114,26.0013,23.20116,24.20121,22.60113
1217099,TAMOXIFEN 10MG TAB,NA,4.67,2/6/2022,1.071765,1.071765,0.29888,1.78861,0.89197,0.61644,1.02273,0.97136,1.08344,0.61644,0.85461,1.78861,0.38761,0.39228,0.29888,0.5137,0.51837,0.53238,0.6071,0.54172,0.56507,0.52771
2811241,LOC2 300-399MG/ML ML,Q9967,3.28,2/6/2022,0.75276,0.75276,0.20992,1.25624,0.62648,0.43296,0.71832,0.68224,0.76096,0.43296,0.60024,1.25624,0.27224,0.27552,0.20992,0.3608,0.36408,0.37392,0.4264,0.38048,0.39688,0.37064
1210077,ALBUTEROL 90MCG PUFF,NA,26,2/6/2022,5.967,5.967,1.664,9.958,4.966,3.432,5.694,5.408,6.032,3.432,4.758,9.958,2.158,2.184,1.664,2.86,2.886,2.964,3.38,3.016,3.146,2.938
1315863,AMIKACIN,80150,374.11,2/6/2022,85.858245,85.858245,23.94304,143.28413,71.45501,49.38252,81.93009,77.81488,86.79352,49.38252,68.46213,143.28413,31.05113,31.42524,23.94304,41.1521,41.52621,42.64854,48.6343,43.39676,45.26731,42.27443
2895285,ANTI-ENA,86235,322.4,2/6/2022,73.9908,73.9908,20.6336,123.4792,61.5784,42.5568,70.6056,67.0592,74.7968,42.5568,58.9992,123.4792,26.7592,27.0816,20.6336,35.464,35.7864,36.7536,41.912,37.3984,39.0104,36.4312
1720004,BRONCH RM LV4 1ST 15,SURG,16688.28,2/6/2022,3829.96026,3829.96026,1068.04992,6391.61124,3187.46148,2202.85296,3654.73332,3471.16224,3871.68096,2202.85296,3053.95524,6391.61124,1385.12724,1401.81552,1068.04992,1835.7108,1852.39908,1902.46392,2169.4764,1935.84048,2019.28188,1885.77564
1314979,"HIV-1, DNA,AMP PROBE",87535,297.5,2/6/2022,68.27625,68.27625,19.04,113.9425,56.8225,39.27,65.1525,61.88,69.02,39.27,54.4425,113.9425,24.6925,24.99,19.04,32.725,33.0225,33.915,38.675,34.51,35.9975,33.6175
1660091,LE-ANKLE 3VPLUS DR,73610,598.68,2/6/2022,137.39706,137.39706,38.31552,229.29444,114.34788,79.02576,131.11092,124.52544,138.89376,79.02576,109.55844,229.29444,49.69044,50.28912,38.31552,65.8548,66.45348,68.24952,77.8284,69.44688,72.44028,67.65084
2894266,"FUNGUS AB, NOS",86671,96.06,2/6/2022,22.04577,22.04577,6.14784,36.79098,18.34746,12.67992,21.03714,19.98048,22.28592,12.67992,17.57898,36.79098,7.97298,8.06904,6.14784,10.5666,10.66266,10.95084,12.4878,11.14296,11.62326,10.85478
1219326,FLUOCINON.05%CRM 15G,NA,32.89,2/6/2022,7.548255,7.548255,2.10496,12.59687,6.28199,4.34148,7.20291,6.84112,7.63048,4.34148,6.01887,12.59687,2.72987,2.76276,2.10496,3.6179,3.65079,3.74946,4.2757,3.81524,3.97969,3.71657
1214462,CYTAL SQ CM,Q4166,14.2,2/6/2022,3.2589,3.2589,0.9088,5.4386,2.7122,1.8744,3.1098,2.9536,3.2944,1.8744,2.5986,5.4386,1.1786,1.1928,0.9088,1.562,1.5762,1.6188,1.846,1.6472,1.7182,1.6046
1691001,FL-NEDL GUIDE FLUORO,77002,909.97,2/6/2022,208.838115,208.838115,58.23808,348.51851,173.80427,120.11604,199.28343,189.27376,211.11304,120.11604,166.52451,348.51851,75.52751,76.43748,58.23808,100.0967,101.00667,103.73658,118.2961,105.55652,110.10637,102.82661
